filing_date,trade_date,insider_name,title,trade_type,price,quantity,ownership,ownership_change,value
2005-01-18 17:12:58,2005-01-13,Serlet Bertrand,SVP,S - Sale+OE,72.06,-20000.0,2708.0,-88.0,-1441200.0
2005-01-13 17:29:03,2005-01-11,Serlet Bertrand,SVP,S - Sale+OE,68.25,-10000.0,2708.0,-79.0,-682500.0
2005-01-11 16:33:19,2005-01-07,Serlet Bertrand,SVP,S - Sale+OE,68.76,-20000.0,2708.0,-88.0,-1375200.0
2005-01-05 18:02:32,2005-01-03,Rubinstein Jonathan,SVP,S - Sale+OE,64.12,-150000.0,11087.0,-93.0,-9617670.0
2004-11-08 19:09:49,2004-11-04,Schiller Philip W,SVP,S - Sale+OE,55.0,-131250.0,128.0,-100.0,-7218750.0
2004-11-05 18:41:22,2004-11-03,Levinson Arthur D,Dir,S - Sale,55.23,-40000.0,161600.0,-20.0,-2209200.0
2004-11-04 19:00:13,2004-11-02,Tevanian Avadis,SVP,S - Sale+OE,53.0,-100000.0,1252.0,-99.0,-5300000.0
2004-11-01 18:33:13,2004-10-28,Johnson Ronald B,SVP,S - Sale+OE,50.59,-300000.0,5903.0,-98.0,-15176250.0
2004-10-21 18:28:53,2004-10-19,York Jerome B,Dir,S - Sale+OE,47.49,-30000.0,20000.0,-60.0,-1424765.0
2004-10-21 18:28:03,2004-10-19,York Jerome B,Dir,S - Sale+OE,47.63,-60000.0,20000.0,-75.0,-2857664.0
2004-10-20 18:48:14,2004-10-18,Tevanian Avadis,SVP,S - Sale+OE,47.04,-200000.0,1252.0,-99.0,-9408950.0
2004-10-20 18:47:39,2004-10-18,Serlet Bertrand,SVP,S - Sale+OE,44.86,-10000.0,3708.0,-73.0,-448557.0
2004-10-20 18:47:01,2004-10-18,Schiller Philip W,SVP,S - Sale+OE,45.23,-103864.0,128.0,-100.0,-4697735.0
2004-10-20 18:44:26,2004-10-18,Schiller Philip W,SVP,S - Sale+OE,45.32,-56300.0,128.0,-100.0,-2551725.0
2004-10-20 18:42:17,2004-10-18,Heinen Nancy R,SVP,S - Sale+OE,44.72,-350000.0,1315.0,-100.0,-15652524.0
2004-10-18 19:23:56,2004-10-15,Serlet Bertrand,SVP,S - Sale+OE,44.8,-2052.0,3708.0,-36.0,-91930.0
2004-10-18 19:13:35,2004-10-14,Serlet Bertrand,SVP,S - Sale+OE,43.74,-17948.0,3708.0,-83.0,-785013.0
2004-10-12 17:40:48,2004-10-01,Rubinstein Jonathan,SVP,S - Sale+OE,38.81,-500000.0,11087.0,-98.0,-19403495.0
2004-10-08 18:26:36,2004-10-06,Serlet Bertrand,SVP,S - Sale+OE,40.7,-20000.0,3708.0,-84.0,-813900.0
2004-10-05 18:39:49,2004-10-01,Rubinstein Jonathan,SVP,S - Sale+OE,38.81,-500000.0,11087.0,-98.0,-19403495.0
2004-09-03 18:15:59,2004-09-02,Rubinstein Jonathan,SVP,S - Sale+OE,35.42,-500000.0,11087.0,-98.0,-17709000.0
2004-09-01 18:54:53,2004-09-01,Serlet Bertrand,SVP,S - Sale+OE,34.32,-100.0,3708.0,-3.0,-3432.0
2004-09-01 18:54:11,2004-08-30,Serlet Bertrand,SVP,S - Sale+OE,34.11,-29900.0,3708.0,-89.0,-1019940.0
