filing_date,trade_date,ticker,company_name,industry,insider_name,price,quantity,ownership,ownership_change,value
2024-06-18 16:30:05,2024-06-14,FBYD,Falcon'S Beyond Global Inc.,"Katmandu Ventures, LLC",10%,$3.62,1745906.0,1759542.0,>999,6316862.0
2024-06-18 16:15:30,2024-06-14,AEI,Alset Inc.,Chan Heng Fai Ambrose,"CEO, 10%",$1.14,52821.0,5611539.0,1.0,60104.0
2024-06-18 16:04:29,2024-06-14,ACRS,Aclaris Therapeutics Inc.,Leonard Braden Michael,10%,$1.15,545000.0,22904268.0,2.0,628206.0
2024-06-18 13:17:59,2024-06-14,NWPP,New Peoples Bankshares Inc,Keene Harold L,"Dir, 10%",$2.70,14317.0,4538483.0,0.0,38656.0
2024-06-18 09:28:54,2024-06-14,NRDY,Nerdy Inc.,Cohn Charles K.,"CEO, 10%",$1.93,347275.0,22752811.0,2.0,670241.0
2024-06-18 09:00:03,2024-06-14,FTCI,Ftc Solar Inc.,Chatila Ahmad R,Dir,$0.45,108062.0,1190246.0,10.0,48628.0
2024-06-17 18:08:20,2024-06-13,MNPR,Monopar Therapeutics,Cittadine Andrew,COO,$0.91,36000.0,153624.0,31.0,32894.0
2024-06-17 15:13:41,2024-06-13,PKTX,Protokinetix Inc.,Smith Clarence Edward,"Pres, CEO, 10%",$0.01,6500000.0,83637093.0,8.0,65000.0
2024-06-17 09:08:48,2024-06-13,TURN,180 Degree Capital Corp. /ny/,Rendino Kevin,"COB, CEO",$3.76,13517.0,773499.0,2.0,50844.0
2024-06-17 09:06:56,2024-06-13,NRDY,Nerdy Inc.,Cohn Charles K.,"CEO, 10%",$1.88,347275.0,22405536.0,2.0,652877.0
2024-06-14 19:52:29,2024-06-12,OPAD,Offerpad Solutions Inc.,Sella Roberto Marco,"Dir, 10%",$4.90,20433.0,3138883.0,1.0,100122.0
2024-06-14 18:40:42,2024-06-12,DALN,Dallasnews Corp,Murray Mary K,"Pres, Treasurer Secretary",$3.81,7000.0,13369.0,110.0,26701.0
2024-06-14 18:34:06,2024-06-12,LCGMF,Lion Copper & Gold Corp.,Alford Tony L,"Dir, 10%",$0.06,865200.0,121311101.0,1.0,47920.0
2024-06-14 17:38:23,2024-06-13,SYPR,Sypris Solutions Inc,Convis Gary L,Dir,$1.92,20000.0,449811.0,5.0,38400.0
2024-06-14 17:24:29,2024-06-12,HLLY,Holley Inc.,Rubel Matthew E,Exec. COB,$3.39,14493.0,1068104.0,1.0,49131.0
2024-06-14 16:15:18,2024-06-14,CTOS,Custom Truck One Source Inc.,Heinberg Marshall,Dir,$4.34,10000.0,423856.0,2.0,43428.0
2024-06-14 16:05:17,2024-06-13,PROK,Prokidney Corp.,Legorreta Pablo G.,"Dir, 10%",$2.42,22617909.0,22617909.0,New,54735340.0
